"","site_AD","0_AD","100_AD","200_AD","300_AD","400_AD","500_AD","600_AD","700_AD","800_AD","900_AD","1000_AD","1100_AD","1200_AD","1300_AD","1400_AD","1500_AD","1600_AD","1700_AD","1710_AD","1720_AD","1730_AD","1740_AD","1750_AD","1760_AD","1770_AD","1780_AD","1790_AD","1800_AD","1810_AD","1820_AD","1830_AD","1840_AD","1850_AD","1860_AD","1870_AD","1880_AD","1890_AD","1900_AD","1910_AD","1920_AD","1930_AD","1940_AD","1950_AD","1960_AD","1970_AD","1980_AD","1990_AD","2000_AD"
"1","Bush-Gd_Acopia",169.878067016602,720.644958496094,1292.51123046875,274.150085449219,859.594299316406,1461.28588867188,412.316528320312,1025.33483886719,1647.0927734375,629.653198242188,1359.25134277344,2068.1943359375,928.82177734375,1631.10168457031,2304.06420898438,1252.64343261719,589.008911132812,849.810241699219,669.737060546875,810.000061035156,504.117401123047,633.101501464844,742.790771484375,489.275177001953,588.323364257812,669.125244140625,466.073699951172,537.237243652344,591.814331054688,435.534362792969,566.517761230469,697.638000488281,626.164001464844,773.395568847656,910.531921386719,889.93896484375,1236.96179199219,1545.25463867188,1578.64904785156,1813.05285644531,1863.3720703125,1385.98950195312,1236.537109375,1362.34216308594,1470.85437011719,1685.94848632812,1898.36108398438,1964.93701171875
"2","Bush-Gd_Huamnmrc",20.8206596374512,88.3239593505859,158.41325378418,33.6004867553711,105.353927612305,179.098678588867,50.534496307373,125.66748046875,201.871627807617,77.1717987060547,166.593078613281,253.482818603516,113.838607788086,199.911697387695,282.3916015625,153.526962280273,72.1903381347656,104.154769897461,85.5661315917969,107.875534057617,69.9858093261719,91.620361328125,112.053520202637,76.9400634765625,96.439697265625,114.337196350098,83.0185317993164,99.7532272338867,114.547782897949,87.8747329711914,119.150390625,152.951034545898,143.103668212891,184.248809814453,226.119781494141,230.379577636719,333.795440673828,434.674896240234,462.903472900391,554.186157226562,593.724792480469,460.347595214844,428.127838134766,491.691711425781,553.371398925781,661.1982421875,776.080200195312,837.368774414062
"3","Bush-Gd_Miski",20.8206596374512,88.3239593505859,158.41325378418,33.6004867553711,105.353927612305,179.098678588867,50.534496307373,125.66748046875,201.871627807617,77.1717987060547,166.593078613281,253.482818603516,113.838607788086,199.911697387695,282.3916015625,153.526962280273,72.1903381347656,104.154769897461,85.5661315917969,107.875534057617,69.9858093261719,91.620361328125,112.053520202637,76.9400634765625,96.439697265625,114.337196350098,83.0185317993164,99.7532272338867,114.547782897949,87.8747329711914,119.150390625,152.951034545898,143.103668212891,184.248809814453,226.119781494141,230.379577636719,333.795440673828,434.674896240234,462.903472900391,554.186157226562,593.724792480469,460.347595214844,428.127838134766,491.691711425781,553.371398925781,661.1982421875,776.080200195312,837.368774414062
"4","Bush-Gd_Pacucha",39.6279983520508,168.107147216797,301.508239746094,63.9518661499023,200.520309448242,340.878814697266,96.1823883056641,239.183135986328,384.222595214844,146.881210327148,317.076904296875,482.454284667969,216.669219970703,380.492279052734,537.476440429688,292.208129882812,137.399993896484,198.23796081543,167.20964050293,216.486968994141,144.26725769043,194.044464111328,243.889358520508,172.143157958984,221.861175537109,270.537536621094,202.099533081055,249.927612304688,295.481781005859,233.474334716797,326.206787109375,431.700561523438,416.624816894531,553.628784179688,701.703552246094,692.160461425781,940.87353515625,1216.39807128906,1338.27514648438,1658.22534179688,1929.9716796875,1846.87145996094,1883.16467285156,2424.62158203125,2242.8740234375,2499.76440429688,2887.6181640625,3259.66333007812
"5","Clm-A-C_Belmir-1",22.6700839996338,96.6461486816406,174.198699951172,37.1318283081055,117.003494262695,199.88850402832,56.680118560791,141.648864746094,228.671920776367,85.4744567871094,181.161437988281,292.877655029297,138.357604980469,253.626022338867,371.736175537109,208.690872192383,95.1097564697266,75.4839324951172,65.8356399536133,87.7050476074219,59.8701820373535,82.1495208740234,104.927238464355,74.9891510009766,97.5193252563477,119.582847595215,89.5351409912109,110.60865020752,117.967544555664,83.6291809082031,112.535675048828,146.996780395508,139.660629272461,162.783813476562,182.537734985352,182.147094726562,219.208709716797,259.837036132812,272.968322753906,341.405334472656,420.988555908203,420.531646728516,523.3603515625,653.381652832031,751.42822265625,870.120666503906,971.395385742188,968.503601074219
"6","Clm-A-C_Belmir-2",22.6700839996338,96.6461486816406,174.198699951172,37.1318283081055,117.003494262695,199.88850402832,56.680118560791,141.648864746094,228.671920776367,85.4744567871094,181.161437988281,292.877655029297,138.357604980469,253.626022338867,371.736175537109,208.690872192383,95.1097564697266,75.4839324951172,65.8356399536133,87.7050476074219,59.8701820373535,82.1495208740234,104.927238464355,74.9891510009766,97.5193252563477,119.582847595215,89.5351409912109,110.60865020752,117.967544555664,83.6291809082031,112.535675048828,146.996780395508,139.660629272461,162.783813476562,182.537734985352,182.147094726562,219.208709716797,259.837036132812,272.968322753906,341.405334472656,420.988555908203,420.531646728516,523.3603515625,653.381652832031,751.42822265625,870.120666503906,971.395385742188,968.503601074219
"7","Clm-A-C_Belmir-3",22.6700839996338,96.6461486816406,174.198699951172,37.1318283081055,117.003494262695,199.88850402832,56.680118560791,141.648864746094,228.671920776367,85.4744567871094,181.161437988281,292.877655029297,138.357604980469,253.626022338867,371.736175537109,208.690872192383,95.1097564697266,75.4839324951172,65.8356399536133,87.7050476074219,59.8701820373535,82.1495208740234,104.927238464355,74.9891510009766,97.5193252563477,119.582847595215,89.5351409912109,110.60865020752,117.967544555664,83.6291809082031,112.535675048828,146.996780395508,139.660629272461,162.783813476562,182.537734985352,182.147094726562,219.208709716797,259.837036132812,272.968322753906,341.405334472656,420.988555908203,420.531646728516,523.3603515625,653.381652832031,751.42822265625,870.120666503906,971.395385742188,968.503601074219
"8","Clm-A-C_Guarne-1",29.4207515716553,125.425308227539,226.071350097656,48.188892364502,151.844635009766,259.411041259766,73.5582504272461,183.828872680664,296.765533447266,110.92692565918,235.107452392578,380.090393066406,179.557556152344,329.150451660156,482.431274414062,270.834564208984,123.431419372559,97.9614410400391,105.545066833496,173.691177368164,146.467071533203,248.262252807617,391.714965820312,345.825164794922,555.552551269531,841.549377441406,778.359924316406,1187.82458496094,1564.95556640625,1370.48278808594,2278.1494140625,3676.00463867188,4314.380859375,6212.00732421875,8604.9755859375,10607.0712890625,15769.115234375,23090.154296875,29965.001953125,46296.546875,70522.03125,87022.0859375,133785.140625,206324.234375,293121.09375,419290.78125,578240,712179.6875
"9","Clm-A-C_Guarne-2",29.4207515716553,125.425308227539,226.071350097656,48.188892364502,151.844635009766,259.411041259766,73.5582504272461,183.828872680664,296.765533447266,110.92692565918,235.107452392578,380.090393066406,179.557556152344,329.150451660156,482.431274414062,270.834564208984,123.431419372559,97.9614410400391,105.545066833496,173.691177368164,146.467071533203,248.262252807617,391.714965820312,345.825164794922,555.552551269531,841.549377441406,778.359924316406,1187.82458496094,1564.95556640625,1370.48278808594,2278.1494140625,3676.00463867188,4314.380859375,6212.00732421875,8604.9755859375,10607.0712890625,15769.115234375,23090.154296875,29965.001953125,46296.546875,70522.03125,87022.0859375,133785.140625,206324.234375,293121.09375,419290.78125,578240,712179.6875
"10","Clm-A-E_Cucunb-1",279.513519287109,1191.6103515625,2147.8037109375,457.821350097656,1442.60864257812,2464.54956054688,698.844360351562,1746.47680664062,2819.43798828125,1053.86755371094,2233.65185546875,3611.07055664062,1705.89685058594,3127.11254882812,4583.3662109375,2573.07934570312,1172.66723632812,930.688293457031,854.090698242188,1196.587890625,858.495849609375,1237.123046875,1658.0078125,1242.02648925781,1690.95031738281,2167.79418945312,1694.2587890625,2181.064453125,2419.48779296875,1780.44274902344,2481.69287109375,3350.40795898438,3282.6640625,3937.01220703125,4533.0439453125,4635.41357421875,5706.908203125,6910.35986328125,7408.1328125,9449.0576171875,11880.5498046875,12104.583984375,15377.4306640625,19621.353515625,23102.447265625,27443.8046875,31504.0859375,34564.2265625
