"","sites_AD","0_AD","100_AD","200_AD","300_AD","400_AD","500_AD","600_AD","700_AD","800_AD","900_AD","1000_AD","1100_AD","1200_AD","1300_AD","1400_AD","1500_AD","1600_AD","1700_AD","1710_AD","1720_AD","1730_AD","1740_AD","1750_AD","1760_AD","1770_AD","1780_AD","1790_AD","1800_AD","1810_AD","1820_AD","1830_AD","1840_AD","1850_AD","1860_AD","1870_AD","1880_AD","1890_AD","1900_AD","1910_AD","1920_AD","1930_AD","1940_AD","1950_AD","1960_AD","1970_AD","1980_AD","1990_AD","2000_AD"
"1","Bush-Gd_Acopia",679.512268066406,720.644958496094,764.267517089844,810.530700683594,859.594299316406,911.627868652344,966.811157226562,1025.33483886719,1087.40112304688,1223.326171875,1359.25134277344,1449.8681640625,1540.48486328125,1631.10168457031,1721.71838378906,1812.33520507812,589.008911132812,679.848205566406,669.737060546875,658.53662109375,646.304382324219,633.101501464844,618.992309570312,604.043395996094,588.323364257812,571.901916503906,554.849609375,537.237243652344,519.135375976562,500.614227294922,566.517761230469,628.502685546875,695.73779296875,773.395568847656,843.085144042969,956.923645019531,1236.96179199219,1471.67114257812,1654.76843261719,1813.05285644531,1795.15612792969,1434.77172851562,1236.537109375,1327.81884765625,1503.94104003906,1685.94848632812,1872.15100097656,1984.78479003906
"2","Bush-Gd_Huamnmrc",83.2826385498047,88.3239593505859,93.6704483032227,99.340576171875,105.353927612305,111.731285095215,118.494674682617,125.66748046875,133.274475097656,149.933776855469,166.593078613281,177.699295043945,188.80549621582,199.911697387695,211.017913818359,222.124114990234,72.1903381347656,83.3238143920898,85.5661315917969,87.7036895751953,89.7253952026367,91.620361328125,93.3779373168945,94.9877395629883,96.439697265625,97.7240982055664,98.8315887451172,99.7532272338867,100.480514526367,101.005439758301,119.150390625,137.793731689453,159.00407409668,184.248809814453,209.370178222656,247.719970703125,333.795440673828,413.97607421875,485.223785400391,554.186157226562,571.989196777344,476.550323486328,428.127838134766,479.231689453125,565.819396972656,661.1982421875,765.365051269531,845.827026367188
"3","Bush-Gd_Miski",83.2826385498047,88.3239593505859,93.6704483032227,99.340576171875,105.353927612305,111.731285095215,118.494674682617,125.66748046875,133.274475097656,149.933776855469,166.593078613281,177.699295043945,188.80549621582,199.911697387695,211.017913818359,222.124114990234,72.1903381347656,83.3238143920898,85.5661315917969,87.7036895751953,89.7253952026367,91.620361328125,93.3779373168945,94.9877395629883,96.439697265625,97.7240982055664,98.8315887451172,99.7532272338867,100.480514526367,101.005439758301,119.150390625,137.793731689453,159.00407409668,184.248809814453,209.370178222656,247.719970703125,333.795440673828,413.97607421875,485.223785400391,554.186157226562,571.989196777344,476.550323486328,428.127838134766,479.231689453125,565.819396972656,661.1982421875,765.365051269531,845.827026367188
"4","Bush-Gd_Pacucha",158.511993408203,168.107147216797,178.283126831055,189.075088500977,200.520309448242,212.658340454102,225.531127929688,239.183135986328,253.661529541016,285.369232177734,317.076904296875,338.215362548828,359.353820800781,380.492279052734,401.630737304688,422.769226074219,137.399993896484,158.590362548828,167.20964050293,176.005676269531,184.9580078125,194.044464111328,203.241134643555,212.522415161133,221.861175537109,231.228668212891,240.594680786133,249.927612304688,259.194549560547,268.361297607422,326.206787109375,388.919403076172,462.916473388672,553.628784179688,649.725463867188,744.258544921875,940.87353515625,1158.47424316406,1402.80419921875,1658.22534179688,1859.31762695312,1911.87524414062,1883.16467285156,2363.17895507812,2293.3271484375,2499.76440429688,2847.74975585938,3292.58911132812
"5","Clm-A-C_Belmir-1",90.6803359985352,96.6461486816406,103.004447937012,109.781051635742,117.003494262695,124.70108795166,132.90510559082,141.648864746094,150.967864990234,166.064651489258,181.161437988281,205.316299438477,229.471160888672,253.626022338867,277.780883789062,301.935729980469,95.1097564697266,60.3871459960938,65.8356399536133,71.3049163818359,76.7566452026367,82.1495208740234,87.4393692016602,92.5791931152344,97.5193252563477,102.207565307617,106.589454650879,110.60865020752,103.48030090332,96.1254959106445,112.535675048828,132.42951965332,155.178466796875,162.783813476562,169.016418457031,195.857086181641,219.208709716797,247.463851928711,286.130340576172,341.405334472656,405.576629638672,435.332946777344,523.3603515625,636.82421875,768.331481933594,870.120666503906,957.983642578125,978.286437988281
"6","Clm-A-C_Belmir-2",90.6803359985352,96.6461486816406,103.004447937012,109.781051635742,117.003494262695,124.70108795166,132.90510559082,141.648864746094,150.967864990234,166.064651489258,181.161437988281,205.316299438477,229.471160888672,253.626022338867,277.780883789062,301.935729980469,95.1097564697266,60.3871459960938,65.8356399536133,71.3049163818359,76.7566452026367,82.1495208740234,87.4393692016602,92.5791931152344,97.5193252563477,102.207565307617,106.589454650879,110.60865020752,103.48030090332,96.1254959106445,112.535675048828,132.42951965332,155.178466796875,162.783813476562,169.016418457031,195.857086181641,219.208709716797,247.463851928711,286.130340576172,341.405334472656,405.576629638672,435.332946777344,523.3603515625,636.82421875,768.331481933594,870.120666503906,957.983642578125,978.286437988281
"7","Clm-A-C_Belmir-3",90.6803359985352,96.6461486816406,103.004447937012,109.781051635742,117.003494262695,124.70108795166,132.90510559082,141.648864746094,150.967864990234,166.064651489258,181.161437988281,205.316299438477,229.471160888672,253.626022338867,277.780883789062,301.935729980469,95.1097564697266,60.3871459960938,65.8356399536133,71.3049163818359,76.7566452026367,82.1495208740234,87.4393692016602,92.5791931152344,97.5193252563477,102.207565307617,106.589454650879,110.60865020752,103.48030090332,96.1254959106445,112.535675048828,132.42951965332,155.178466796875,162.783813476562,169.016418457031,195.857086181641,219.208709716797,247.463851928711,286.130340576172,341.405334472656,405.576629638672,435.332946777344,523.3603515625,636.82421875,768.331481933594,870.120666503906,957.983642578125,978.286437988281
"8","Clm-A-C_Guarne-1",117.683006286621,125.425308227539,133.676971435547,142.47151184082,151.844635009766,161.834411621094,172.481414794922,183.828872680664,195.922882080078,215.515167236328,235.107452392578,266.455108642578,297.802795410156,329.150451660156,360.498107910156,391.845764160156,123.431419372559,78.3691558837891,105.545066833496,141.212341308594,187.778289794922,248.262252807617,326.429138183594,426.944641113281,555.552551269531,719.27294921875,926.618957519531,1187.82458496094,1372.76794433594,1575.267578125,2278.1494140625,3311.7158203125,4793.75634765625,6212.00732421875,7967.5703125,11405.453125,15769.115234375,21990.623046875,31409.85546875,46296.546875,67940.3046875,90084.9765625,133785.140625,201095.75,299714.8125,419290.78125,570256.4375,719373.4375
"9","Clm-A-C_Guarne-2",117.683006286621,125.425308227539,133.676971435547,142.47151184082,151.844635009766,161.834411621094,172.481414794922,183.828872680664,195.922882080078,215.515167236328,235.107452392578,266.455108642578,297.802795410156,329.150451660156,360.498107910156,391.845764160156,123.431419372559,78.3691558837891,105.545066833496,141.212341308594,187.778289794922,248.262252807617,326.429138183594,426.944641113281,555.552551269531,719.27294921875,926.618957519531,1187.82458496094,1372.76794433594,1575.267578125,2278.1494140625,3311.7158203125,4793.75634765625,6212.00732421875,7967.5703125,11405.453125,15769.115234375,21990.623046875,31409.85546875,46296.546875,67940.3046875,90084.9765625,133785.140625,201095.75,299714.8125,419290.78125,570256.4375,719373.4375
"10","Clm-A-E_Cucunb-1",1118.05407714844,1191.6103515625,1270.00573730469,1353.55871582031,1442.60864257812,1537.51708984375,1638.66955566406,1746.47680664062,1861.37658691406,2047.51416015625,2233.65185546875,2531.47216796875,2829.29223632812,3127.11254882812,3424.93286132812,3722.75317382812,1172.66723632812,744.550598144531,854.090698242188,972.835693359375,1100.6357421875,1237.123046875,1381.67309570312,1533.36596679688,1690.95031738281,1852.81555175781,2016.97473144531,2181.064453125,2122.35766601562,2046.48596191406,2481.69287109375,3018.38549804688,3647.404296875,3937.01220703125,4197.26318359375,4984.31591796875,5706.908203125,6581.29541015625,7765.33837890625,9449.0576171875,11445.6171875,12530.625,15377.4306640625,19124.126953125,23622.134765625,27443.8046875,31069.119140625,34913.359375
