Sample ID,Sitename,Country,Sample,Material,C14_date,Error
HAM-226,Cochasqui,Ecuador,,bone,0,0
Hv-1273,Cochasqui,Ecuador,558,charcoal,0,0
N-3875,Huapula,Ecuador,II-5,unknown,0,0
SI-3305,"Ayalan, Hacienda",Ecuador,,charcoal,0,0
SI-3306,"Ayalan, Hacienda",Ecuador,,charcoal,0,0
SI-3531,"Ayalan, Hacienda",Ecuador,,bone,0,0
UM-421,Arajuno,Ecuador,,bone,0,0
UM-423,Arajuno,Ecuador,,bone,0,0
TX-1132,Chobsi,Ecuador,,charcoal,10010,430
GX-12474,Nambillo,Ecuador,R28,unknown,1015,130
HAM-227,Cochasqui,Ecuador,,wood,1020,120
UtC-3034,Cumbaya,Ecuador,MC-004,charcoal,1030,70
Beta-210218,Quimi,Ecuador,,,1040,60
SRR-2581,Rio Mocha,Ecuador,,peat,10650,60
Beta-100538,Huapula,Ecuador,,carbon,1070,70
Beta-168289,Nankais,Ecuador,,,1070,70
Beta-90305,Huapula,Ecuador,,carbon,1070,90
PITT-417,La Mina,Ecuador,,unknown,1120,30
SRR-2582,Rio Mocha,Ecuador,,peat,11370,60
UtC-3036,Cumbaya,Ecuador,MC-006,charcoal,1140,70
SI-3532,"Ayalan, Hacienda",Ecuador,,bone,1150,70
UtC-2755,Cumbaya,Ecuador,MC-005,charcoal,1160,70
Beta-100537,Huapula,Ecuador,,carbon,1210,80
SI-3529,"Ayalan, Hacienda",Ecuador,,bone,1220,115
UtC-2752,Cumbaya,Ecuador,MC-003,charcoal,1220,60
GX-16561,Loma Tello,Ecuador,LT-5,charcoal,1225,85
UtC-1540,Cumbaya,Ecuador,MC-002,charcoal,1230,100
PITT-410,El Tape,Ecuador,,unknown,1260,30
GX-16562,Loma Tello,Ecuador,LT-10,charcoal,1280,240
GX-16564,San Francisco de Cobos,Ecuador,SFC-5,charcoal,1385,140
Hv-15239,Putushio,Ecuador,"F1450/X-7,8v,w",bone,1390,130
UtC-1539,Cumbaya,Ecuador,MC-001,plant fragments,1440,110
Beta-90306,Huapula,Ecuador,,carbon,1510,60
Beta-89269,Huapula,Ecuador,,carbon,1650,120
UM-424,Arajuno,Ecuador,,bone,1650,70
GX-12467,Nambillo,Ecuador,R39,unknown,1665,200
Hv-15240,Putushio,Ecuador,"F1351/V-VIII-6v,w",bone,1665,50
GX-12479,Nambillo,Ecuador,R33,unknown,1665,75
M-735,La Tolita,Ecuador,,charcoal,1690,200
GX-10630,Salango,Ecuador,,human bone,1700,200
GX-13671,Salango,Ecuador,,human bone,1725,170
N-3876,Huapula,Ecuador,II-6,unknown,1730,80
GX-12466,Nambillo,Ecuador,R36,unknown,1775,75
Hv-14702,Putushio,Ecuador,(5) F1166/V-17c,charcoal,1780,115
N-3874,Huapula,Ecuador,II-4,unknown,1780,75
Beta-90630,Huapula,Ecuador,,carbon,1790,60
GX-13024,Salango,Ecuador,,charcoal,1820,195
Hv-2976,Palmar,Ecuador,,unknown,1830,80
Beta-116472,Huapula,Ecuador,,carbon,1840,50
Hv-1287,Cochasqui,Ecuador,714,charcoal,185,60
GX-10634,Salango,Ecuador,,human bone,1855,165
N-4490,Huapula,Ecuador,MS-Hp Tola 1.70 m,unknown,1870,80
Hv-1294,Palmar,Ecuador,,unknown,1875,65
Hv-14708,Putushio,Ecuador,(11)F1273/XII-20b,charcoal,1880,120
Hv-1286,Cochasqui,Ecuador,661,charcoal,190,60
N-4489,Huapula,Ecuador,MS-Hp C.D.9 80-100,unknown,1930,60
HAM-225,Cochasqui,Ecuador,,bone,1930,70
N-3872,Huapula,Ecuador,II-2,unknown,1940,115
GX-12377,La Tolita,Ecuador,8TPESE-365-86,charcoal,1950,75
UtC-2753,Cumbaya,Ecuador,MC-002,charcoal,1970,60
GX-10635,Salango,Ecuador,,human bone,1980,135
Beta-116471,Huapula,Ecuador,,carbon,1990,50
Beta-90307,Huapula,Ecuador,,carbon,1990,70
N-4492,Huapula,Ecuador,MS-Hp Tola 2 m,unknown,1990,85
UtC-2754,Cumbaya,Ecuador,MC-004,charcoal,2000,70
ISGS-1187,Nueva Era,Ecuador,,,2010,160
GX-12378,La Tolita,Ecuador,9TPESE-365-85,charcoal,2010,70
M-1315,Esteros,Ecuador,,charcoal,2050,120
N-4488,Los Rios (km 58),Ecuador,LR.58.M. 70-80,unknown,2070,60
N-3871,Huapula,Ecuador,II-1,unknown,2070,85
GX-12465,Nambillo,Ecuador,R26,unknown,2095,80
M-1319,Esteros,Ecuador,,charcoal,2110,120
Beta-100309,Huapula,Ecuador,,carbon,2110,70
M-1316,Esteros,Ecuador,,charcoal,2120,120
Hv-1295,Palmar,Ecuador,,unknown,2145,70
N-3873,Huapula,Ecuador,II-3,unknown,2150,135
GX-10632,Salango,Ecuador,,human bone,2160,130
Beta-89267,Huapula,Ecuador,,carbon,2160,80
UtC-3037,Cumbaya,Ecuador,MC-005,charcoal,2170,80
UW-123,Guayaquil,Ecuador,Cut M,shell,2175,60
UW-124,Guayaquil,Ecuador,Cut G,charcoal,2185,80
SI-3530,"Ayalan, Hacienda",Ecuador,,bone,220,60
GX-13023,Salango,Ecuador,,charcoal,2220,285
GX-12379,La Tolita,Ecuador,10TPESE-740-86,charcoal,2265,80
Beta-188267,Santa Ana - La Florida,Ecuador,,,2280,40
Hv-2978,Palmar,Ecuador,,unknown,2295,75
Beta-89270,Huapula,Ecuador,,carbon,2310,70
GX-12472,Nambillo,Ecuador,R15,unknown,2315,260
GX-13026,Salango,Ecuador,,human bone,2340,485
Hv-14704,Putushio,Ecuador,(7)F31/V-11c & V-12b,charcoal,2360,130
Beta-106086,Huapula,Ecuador,,carbon,2360,60
Hv-1293,Palmar,Ecuador,,unknown,2385,80
B-33782,Colon Eloy (R-36),Ecuador,,,2390,80
B-5560,La Cadena,Ecuador,,,2430,80
SI-3307,"Ayalan, Hacienda",Ecuador,,charcoal,2450,120
Hv-14706,Putushio,Ecuador,(9)F1167/X-20c,charcoal,2450,65
GX-12380,La Tolita,Ecuador,11TPESE-760-86,charcoal,2450,80
ISGS-1347,Bella Vista (Puna Island),Ecuador,,,2460,110
GX-13670,Salango,Ecuador,,human bone,2475,165
