"","variable","years","lake","value"
"1","HumanDensity",0,"Yahuarcocha",454.41293
"2","HumanDensity",100,"Yahuarcocha",478.0803
"3","HumanDensity",200,"Yahuarcocha",502.98029
"4","HumanDensity",300,"Yahuarcocha",529.17719
"5","HumanDensity",400,"Yahuarcocha",556.73846
"6","HumanDensity",500,"Yahuarcocha",585.73529
"7","HumanDensity",600,"Yahuarcocha",616.24231
"8","HumanDensity",700,"Yahuarcocha",648.33826
"9","HumanDensity",800,"Yahuarcocha",682.1059
"10","HumanDensity",900,"Yahuarcocha",795.79022
"11","HumanDensity",1000,"Yahuarcocha",909.47455
"12","HumanDensity",1100,"Yahuarcocha",1000.422
"13","HumanDensity",1200,"Yahuarcocha",1091.3694
"14","HumanDensity",1300,"Yahuarcocha",1182.31689
"15","HumanDensity",1400,"Yahuarcocha",1273.26428
"16","HumanDensity",1500,"Yahuarcocha",1364.21179
"17","HumanDensity",1600,"Yahuarcocha",1136.84314
"18","HumanDensity",1700,"Yahuarcocha",1135.32825
"19","HumanDensity",1710,"Yahuarcocha",1253.87512
"20","HumanDensity",1720,"Yahuarcocha",1381.05518
"21","HumanDensity",1730,"Yahuarcocha",1516.97229
"22","HumanDensity",1740,"Yahuarcocha",1661.66138
"23","HumanDensity",1750,"Yahuarcocha",1815.08374
"24","HumanDensity",1760,"Yahuarcocha",1977.12512
"25","HumanDensity",1770,"Yahuarcocha",2147.59277
"26","HumanDensity",1780,"Yahuarcocha",2326.21753
"27","HumanDensity",1790,"Yahuarcocha",2512.6543
"28","HumanDensity",1800,"Yahuarcocha",2706.4873
"29","HumanDensity",1810,"Yahuarcocha",2907.23535
"30","HumanDensity",1820,"Yahuarcocha",3114.35889
"31","HumanDensity",1830,"Yahuarcocha",4156.96094
"32","HumanDensity",1840,"Yahuarcocha",5061.61523
"33","HumanDensity",1850,"Yahuarcocha",6147.16504
"34","HumanDensity",1860,"Yahuarcocha",7302.2998
"35","HumanDensity",1870,"Yahuarcocha",8552.66309
"36","HumanDensity",1880,"Yahuarcocha",10303.96875
"37","HumanDensity",1890,"Yahuarcocha",11927.58008
"38","HumanDensity",1900,"Yahuarcocha",13775.83398
"39","HumanDensity",1910,"Yahuarcocha",16669.56641
"40","HumanDensity",1920,"Yahuarcocha",19292.03516
"41","HumanDensity",1930,"Yahuarcocha",21860.17188
"42","HumanDensity",1940,"Yahuarcocha",34043.96484
"43","HumanDensity",1950,"Yahuarcocha",39269.625
"44","HumanDensity",1960,"Yahuarcocha",45961.79688
"45","HumanDensity",1970,"Yahuarcocha",55615.0625
"46","HumanDensity",1980,"Yahuarcocha",67976.78906
"47","HumanDensity",1990,"Yahuarcocha",84454.67188
"48","HumanDensity",2000,"Yahuarcocha",105337.19531
"49","cropland",0,"Yahuarcocha",0.3193169
"50","cropland",100,"Yahuarcocha",0.3308804
"51","cropland",200,"Yahuarcocha",0.3426104
"52","cropland",300,"Yahuarcocha",0.3544749
"53","cropland",400,"Yahuarcocha",0.3664517
"54","cropland",500,"Yahuarcocha",0.3784543
"55","cropland",600,"Yahuarcocha",0.3904133
"56","cropland",700,"Yahuarcocha",0.402244
"57","cropland",800,"Yahuarcocha",0.4138427
"58","cropland",900,"Yahuarcocha",0.4716003
"59","cropland",1000,"Yahuarcocha",0.5253831
"60","cropland",1100,"Yahuarcocha",0.5613857
"61","cropland",1200,"Yahuarcocha",0.59309
"62","cropland",1300,"Yahuarcocha",0.6201133
"63","cropland",1400,"Yahuarcocha",0.6420369
"64","cropland",1500,"Yahuarcocha",0.6582339
"65","cropland",1600,"Yahuarcocha",0.9991544
"66","cropland",1700,"Yahuarcocha",1.2793632
"67","cropland",1710,"Yahuarcocha",1.349947
"68","cropland",1720,"Yahuarcocha",1.4164641
"69","cropland",1730,"Yahuarcocha",1.4814489
"70","cropland",1740,"Yahuarcocha",1.5451559
"71","cropland",1750,"Yahuarcocha",1.6073301
"72","cropland",1760,"Yahuarcocha",1.6700439
"73","cropland",1770,"Yahuarcocha",1.728536
"74","cropland",1780,"Yahuarcocha",1.7822479
"75","cropland",1790,"Yahuarcocha",1.83596992
"76","cropland",1800,"Yahuarcocha",1.88768351
"77","cropland",1810,"Yahuarcocha",1.93330371
"78","cropland",1820,"Yahuarcocha",1.97597122
"79","cropland",1830,"Yahuarcocha",2.56253457
"80","cropland",1840,"Yahuarcocha",3.0331092
"81","cropland",1850,"Yahuarcocha",3.4975071
"82","cropland",1860,"Yahuarcocha",3.9242489
"83","cropland",1870,"Yahuarcocha",4.3463001
"84","cropland",1880,"Yahuarcocha",4.9422064
"85","cropland",1890,"Yahuarcocha",5.392076
"86","cropland",1900,"Yahuarcocha",5.8802786
"87","cropland",1910,"Yahuarcocha",6.6968241
"88","cropland",1920,"Yahuarcocha",7.3273778
"89","cropland",1930,"Yahuarcocha",7.8694081
"90","cropland",1940,"Yahuarcocha",11.520503
"91","cropland",1950,"Yahuarcocha",12.7328396
"92","cropland",1960,"Yahuarcocha",15.975109
"93","cropland",1970,"Yahuarcocha",15.700675
"94","cropland",1980,"Yahuarcocha",14.697999
"95","cropland",1990,"Yahuarcocha",17.4135323
"96","cropland",2000,"Yahuarcocha",17.397434
"97","HumanDensity",0,"Fondococha",369.07098
"98","HumanDensity",100,"Fondococha",388.2934
"99","HumanDensity",200,"Fondococha",408.51703
"100","HumanDensity",300,"Fondococha",429.79398
"101","HumanDensity",400,"Fondococha",452.17908
"102","HumanDensity",500,"Fondococha",475.73007
"103","HumanDensity",600,"Fondococha",500.50769
"104","HumanDensity",700,"Fondococha",526.57581
"105","HumanDensity",800,"Fondococha",554.00159
"106","HumanDensity",900,"Fondococha",646.33521
"107","HumanDensity",1000,"Fondococha",738.66882
"108","HumanDensity",1100,"Fondococha",812.53571
"109","HumanDensity",1200,"Fondococha",886.4026
"110","HumanDensity",1300,"Fondococha",960.26947
"111","HumanDensity",1400,"Fondococha",1034.13635
"112","HumanDensity",1500,"Fondococha",1108.00317
"113","HumanDensity",1600,"Fondococha",923.336
"114","HumanDensity",1700,"Fondococha",922.10565
"115","HumanDensity",1710,"Fondococha",922.24731
"116","HumanDensity",1720,"Fondococha",920.20404
"117","HumanDensity",1730,"Fondococha",915.89075
"118","HumanDensity",1740,"Fondococha",909.23492
"119","HumanDensity",1750,"Fondococha",900.17914
"120","HumanDensity",1760,"Fondococha",888.68445
"121","HumanDensity",1770,"Fondococha",874.73315
"122","HumanDensity",1780,"Fondococha",858.33209
"123","HumanDensity",1790,"Fondococha",839.51526
"124","HumanDensity",1800,"Fondococha",818.34662
"125","HumanDensity",1810,"Fondococha",794.92157
"126","HumanDensity",1820,"Fondococha",769.36853
"127","HumanDensity",1830,"Fondococha",926.8371
"128","HumanDensity",1840,"Fondococha",1017.30347
"129","HumanDensity",1850,"Fondococha",1112.18396
"130","HumanDensity",1860,"Fondococha",1187.53308
"131","HumanDensity",1870,"Fondococha",1248.12378
"132","HumanDensity",1880,"Fondococha",1346.9906
"133","HumanDensity",1890,"Fondococha",1394.13049
"134","HumanDensity",1900,"Fondococha",1436.84009
"135","HumanDensity",1910,"Fondococha",1548.35828
"136","HumanDensity",1920,"Fondococha",1592.48608
"137","HumanDensity",1930,"Fondococha",1600.22192
"138","HumanDensity",1940,"Fondococha",2205.29688
"139","HumanDensity",1950,"Fondococha",2231.2583
