"","years_AD","age_calBP","d13C","core","long","lat","d18O"
"1",2015,-65,-9999,"ubaque",-73.935,4.499,NA
"2",2004,-54,-9999,"ubaque",-73.935,4.499,NA
"3",1993,-43,-9999,"ubaque",-73.935,4.499,NA
"4",1982,-32,-9999,"ubaque",-73.935,4.499,NA
"5",1971,-21,-25.97,"ubaque",-73.935,4.499,NA
"6",1961,-11,-25.75,"ubaque",-73.935,4.499,NA
"7",1950,0,-25.54,"ubaque",-73.935,4.499,NA
"8",1939,11,-25.32,"ubaque",-73.935,4.499,NA
"9",1929,21,-25.25,"ubaque",-73.935,4.499,NA
"10",1919,31,-25.65,"ubaque",-73.935,4.499,NA
"11",1908,42,-26.05,"ubaque",-73.935,4.499,NA
"12",1897,53,-26.45,"ubaque",-73.935,4.499,NA
"13",1887,63,-27.01,"ubaque",-73.935,4.499,NA
"14",1877,73,-28.04,"ubaque",-73.935,4.499,NA
"15",1868,82,-29.07,"ubaque",-73.935,4.499,NA
"16",1856,94,-30.1,"ubaque",-73.935,4.499,NA
"17",1847,103,-30.86,"ubaque",-73.935,4.499,NA
"18",1837,113,-30.82,"ubaque",-73.935,4.499,NA
"19",1827,123,-30.77,"ubaque",-73.935,4.499,NA
"20",1817,133,-30.73,"ubaque",-73.935,4.499,NA
"21",1806,144,-30.68,"ubaque",-73.935,4.499,NA
"22",1798,152,-30.64,"ubaque",-73.935,4.499,NA
"23",1789,161,-30.59,"ubaque",-73.935,4.499,NA
"24",1778,172,-30.55,"ubaque",-73.935,4.499,NA
"25",1768,182,-30.5,"ubaque",-73.935,4.499,NA
"26",1758,192,-30.43,"ubaque",-73.935,4.499,NA
"27",1748,202,-30.26,"ubaque",-73.935,4.499,NA
"28",1739,211,-30.09,"ubaque",-73.935,4.499,NA
"29",1728,222,-29.92,"ubaque",-73.935,4.499,NA
"30",1720,230,-29.86,"ubaque",-73.935,4.499,NA
"31",1709,241,-30.12,"ubaque",-73.935,4.499,NA
"32",1699,251,-30.38,"ubaque",-73.935,4.499,NA
"33",1689,261,-30.64,"ubaque",-73.935,4.499,NA
"34",1680,270,-30.99,"ubaque",-73.935,4.499,NA
"35",1671,279,-31.59,"ubaque",-73.935,4.499,NA
"36",1661,289,-32.2,"ubaque",-73.935,4.499,NA
"37",1651,299,-32.8,"ubaque",-73.935,4.499,NA
"38",1641,309,-33.23,"ubaque",-73.935,4.499,NA
"39",1630,320,-33.11,"ubaque",-73.935,4.499,NA
"40",1621,329,-32.99,"ubaque",-73.935,4.499,NA
"41",1609,341,-32.87,"ubaque",-73.935,4.499,NA
"42",1599,351,-32.65,"ubaque",-73.935,4.499,NA
"43",1586,364,-32.11,"ubaque",-73.935,4.499,NA
"44",1568,382,-31.58,"ubaque",-73.935,4.499,NA
"45",1548,402,-31.05,"ubaque",-73.935,4.499,NA
"46",1537,413,-30.67,"ubaque",-73.935,4.499,NA
"47",1529,421,-30.79,"ubaque",-73.935,4.499,NA
"48",1521,429,-30.9,"ubaque",-73.935,4.499,NA
"49",1514,436,-31.01,"ubaque",-73.935,4.499,NA
"50",1509,441,-31.08,"ubaque",-73.935,4.499,NA
"51",1502,448,-31.06,"ubaque",-73.935,4.499,NA
"52",1496,454,-31.03,"ubaque",-73.935,4.499,NA
"53",1490,460,-31.01,"ubaque",-73.935,4.499,NA
"54",1484,466,-30.99,"ubaque",-73.935,4.499,NA
"55",1479,471,-30.76,"ubaque",-73.935,4.499,NA
"56",1472,478,-29.94,"ubaque",-73.935,4.499,NA
"57",1467,483,-29.11,"ubaque",-73.935,4.499,NA
"58",1462,488,-28.29,"ubaque",-73.935,4.499,NA
"59",1456,494,-27.46,"ubaque",-73.935,4.499,NA
"60",1451,499,-26.86,"ubaque",-73.935,4.499,NA
"61",1446,504,-26.91,"ubaque",-73.935,4.499,NA
"62",1442,508,-26.97,"ubaque",-73.935,4.499,NA
"63",1438,512,-27.03,"ubaque",-73.935,4.499,NA
"64",1434,516,-27.09,"ubaque",-73.935,4.499,NA
"65",1429,521,-27.08,"ubaque",-73.935,4.499,NA
"66",1423,527,-26.86,"ubaque",-73.935,4.499,NA
"67",1419,531,-26.64,"ubaque",-73.935,4.499,NA
"68",1415,535,-26.42,"ubaque",-73.935,4.499,NA
"69",1410,540,-26.2,"ubaque",-73.935,4.499,NA
"70",1404,546,-25.94,"ubaque",-73.935,4.499,NA
"71",1399,551,-25.55,"ubaque",-73.935,4.499,NA
"72",1394,556,-25.16,"ubaque",-73.935,4.499,NA
"73",1388,562,-24.77,"ubaque",-73.935,4.499,NA
"74",1383,567,-24.38,"ubaque",-73.935,4.499,NA
"75",1378,572,-24.21,"ubaque",-73.935,4.499,NA
"76",1372,578,-24.71,"ubaque",-73.935,4.499,NA
"77",1368,582,-25.22,"ubaque",-73.935,4.499,NA
"78",1363,587,-25.72,"ubaque",-73.935,4.499,NA
"79",1357,593,-26.22,"ubaque",-73.935,4.499,NA
"80",1351,599,-26.47,"ubaque",-73.935,4.499,NA
"81",1344,606,-25.96,"ubaque",-73.935,4.499,NA
"82",1336,614,-25.44,"ubaque",-73.935,4.499,NA
"83",1318,632,-24.93,"ubaque",-73.935,4.499,NA
"84",1301,649,-24.41,"ubaque",-73.935,4.499,NA
"85",1286,664,-24.02,"ubaque",-73.935,4.499,NA
"86",1273,677,-24.02,"ubaque",-73.935,4.499,NA
"87",1261,689,-24.01,"ubaque",-73.935,4.499,NA
"88",1248,702,-24,"ubaque",-73.935,4.499,NA
"89",1234,716,-23.99,"ubaque",-73.935,4.499,NA
"90",1219,731,-23.92,"ubaque",-73.935,4.499,NA
"91",1204,746,-23.7,"ubaque",-73.935,4.499,NA
"92",1189,761,-23.48,"ubaque",-73.935,4.499,NA
"93",1176,774,-23.25,"ubaque",-73.935,4.499,NA
"94",1162,788,-23.03,"ubaque",-73.935,4.499,NA
"95",1148,802,-22.95,"ubaque",-73.935,4.499,NA
"96",1133,817,-23.34,"ubaque",-73.935,4.499,NA
