depth,bchron_age_model,%_tom,%_tc,dry_bd,%_lithics,%_clay,%_silt,%_sand,C_N,d13C,d15N,charcoal
0,-65,46.8,6.2,0.1,36.1,57,38.8,0,-9999,-9999,-9999,-9999
1,-54,46.9,6.2,0.1,29.4,50.2,43.4,4.9,-9999,-9999,-9999,-9999
2,-43,46.8,6,0.1,32,55.2,42.7,0.6,-9999,-9999,-9999,-9999
3,-32,46.5,5.5,0.1,31.6,56.6,42.1,0,-9999,-9999,-9999,-9999
4,-21,46.7,5.1,0.1,30.5,49.9,48.3,0.5,9.5,-25.97,-0.62,-9999
5,-11,49.2,5,0.1,30.3,51.2,47.4,0.1,9.6,-25.75,-0.69,-9999
6,0,43.7,4.2,0.1,36.2,47.3,51.3,0.4,9.7,-25.54,-0.77,-9999
7,11,40.1,4.8,0.1,41.5,49.2,48.6,1.1,9.8,-25.32,-0.84,-9999
8,21,39.2,5,0.2,48.1,48.2,48.7,2.1,10,-25.25,-0.84,-9999
9,31,41.3,3.9,0.2,52.8,51.4,46.6,0.7,10.4,-25.65,-0.62,-9999
10,42,44.6,4,0.2,37,52.6,44.4,1.7,10.8,-26.05,-0.39,-9999
11,53,49.9,4.7,0.2,35.8,49.4,44.7,4.8,11.3,-26.45,-0.17,-9999
12,63,49.9,4.7,0.1,33.1,52.3,46.5,0.1,11.6,-27.01,0.06,-9999
13,73,44.3,4.2,0.1,40.4,46.9,46.2,5.7,11.8,-28.04,0.28,-9999
14,82,46,4.5,0.1,32.2,44.2,47.7,7,12,-29.07,0.51,-9999
15,93.5,46.4,4.9,0.1,35.3,40.8,51.5,6.8,12.2,-30.1,0.73,-9999
16,103,47.4,5.1,0.1,35.7,42.7,49.1,7.1,12.3,-30.86,0.91,-9999
17,113,47.6,4.5,0.1,36.9,40.1,49.9,8.9,12.3,-30.82,0.94,-9999
18,123,46.1,5.8,0.1,37.2,46.4,49.9,2.7,12.3,-30.77,0.98,-9999
19,133,44.3,4.9,0.1,38.7,41.5,48.9,8.6,12.3,-30.73,1.01,-9999
20,143.5,43.8,6,0.1,44.2,47.1,48.8,3,12.2,-30.68,1.04,-9999
21,152,44,6,0.2,42.9,40.5,47.2,11,12.2,-30.64,1.08,-9999
22,161,43.9,6.1,0.2,38.5,35,45.5,18.5,12.2,-30.59,1.11,0.28
23,171.5,43.5,6.3,0.1,55.2,47.9,50.8,0.6,12.2,-30.55,1.14,0.4
24,181.5,42.8,6.4,0.1,46.1,43.3,51.9,3.9,12.2,-30.5,1.18,0.51
25,192,41.4,6.3,0.2,50.9,45.4,51.1,2.4,12.2,-30.43,1.21,0.63
26,202,41.7,6.4,0.2,48.8,47.1,49.9,1.8,12.4,-30.26,1.26,0.74
27,211,43.9,6.5,0.1,33.4,38.2,51.4,9.9,12.5,-30.09,1.31,0.94
28,222,44.1,6.9,0.1,37.2,37.7,47.4,13.8,12.7,-29.92,1.36,1.17
29,230.5,42.4,7.4,0.1,44.3,38.7,52.6,8,13,-29.86,1.38,1.4
30,241,41.5,7.2,0.1,40.1,40.7,53.4,5.4,13.9,-30.12,1.28,1.63
31,251,41.1,6,0.1,45.9,38.7,48.7,11.5,14.7,-30.38,1.18,1.86
32,261,41.5,5,0.1,33.6,43.7,49.2,5.9,15.5,-30.64,1.08,1.67
33,269.5,43.3,4.1,0.1,40.1,52.5,44.9,1.2,15.9,-30.99,0.96,1.33
34,279,43.6,4,0.1,36.7,43.3,45.7,9.8,15.1,-31.59,0.81,1
35,289,42.5,4,0.1,39.6,49.5,33.5,15.1,14.3,-32.2,0.66,0.67
36,299,39,4.1,0.2,50.6,57.1,29.9,12.3,13.5,-32.8,0.51,0.34
37,309,29.4,4.8,0.3,51.1,63.7,31.4,3.5,12.8,-33.23,0.43,0.3
38,319.5,31.1,5,0.3,41.3,50.4,32.4,15.1,12.6,-33.11,0.53,0.36
39,329,48,5.1,0.2,37.4,54.4,27.4,17.2,12.5,-32.99,0.63,0.42
40,341,51.2,6.1,0.1,38.5,48.3,35.4,15.9,12.3,-32.87,0.73,0.48
41,351,47.7,10,0.2,44.9,59.1,27.7,12,12.1,-32.65,0.79,0.54
42,364,45.5,9.9,0.2,44.9,59.3,32.9,6.9,12,-32.11,0.77,0.52
43,381.5,44.1,5.5,0.2,49.3,44.7,30.5,23.4,11.9,-31.58,0.74,0.48
44,402,41.3,4.5,0.2,51.3,61.2,33.9,3.4,11.8,-31.05,0.72,0.43
45,413,35.9,4.5,0.2,54.3,53.9,34.2,10.9,11.8,-30.67,0.69,0.38
46,421,35.3,4,0.2,42.3,54.9,30.8,12.8,11.9,-30.79,0.64,0.34
47,429,37.2,1.9,0.2,45.1,56.2,30.4,12.2,12,-30.9,0.59,0.37
48,435.5,37.3,1.7,0.2,49.7,55.3,31.4,11.5,12.2,-31.01,0.54,0.44
49,441,35.6,2.9,0.2,40.8,57.2,38,3.5,12.3,-31.08,0.5,0.5
50,448,35.9,4.2,0.2,50.3,48.2,32.7,17.3,12.5,-31.06,0.48,0.56
51,454,39,5.6,0.2,55.4,59,39.1,1.2,12.7,-31.03,0.46,0.62
