age_calBP,years_AD,d13C,d18O
11142.38284,-9192,-2.652350044,-13.83770237
11091.9339,-9142,-1.917717344,-14.16983981
11051.60165,-9102,-2.184048363,-14.44907141
11011.29468,-9061,-1.903151359,-13.02819485
10971.01422,-9021,-1.864304969,-13.54802036
10930.7615,-8981,-2.018589096,-13.00246906
10900.5909,-8951,-2.054572879,-13.43714344
10860.38968,-8910,-2.162845876,-13.58820995
10820.21955,-8870,-1.904955112,-13.36720936
10780.08173,-8830,-1.910336436,-13.04691646
10739.9774,-8790,-2.142752453,-11.9759136
10699.90776,-8750,-2.327412591,-11.79286282
10659.87399,-8710,-2.658094442,-11.87204702
10619.87726,-8670,-2.409127043,-11.86751855
10579.91873,-8630,-1.977691348,-11.58984968
10539.99957,-8590,-2.103522941,-11.41509996
10500.12093,-8550,-1.864971477,-11.34147562
10460.28394,-8510,-2.082571424,-11.00531056
10420.48974,-8470,-1.933797809,-11.03575429
10380.73947,-8431,-2.1809605,-11.06589166
10341.03422,-8391,-2.002446041,-11.03273982
10301.37513,-8351,-1.900799166,-10.52038441
10261.76329,-8312,-1.929153158,-10.89405785
10222.1998,-8272,-2.117456729,-11.05444744
10182.68574,-8233,-1.693456294,-10.77008055
10143.2222,-8193,-1.365592156,-10.56975634
10103.81025,-8154,-1.452234881,-10.52381966
10064.45094,-8114,-1.571557253,-10.7147733
10025.14535,-8075,-2.142041956,-10.73496952
9985.89452,-8036,-1.93772445,-10.66181923
9946.699487,-7997,-2.10073705,-10.80967296
9907.561288,-7958,-1.750487031,-10.44023968
9868.480948,-7918,-2.639561488,-10.45583962
9829.459485,-7879,-2.363335071,-10.91503765
9790.49791,-7840,-2.711741762,-10.35961603
9751.597225,-7802,-2.594739645,-10.37742755
9712.758425,-7763,-2.897527212,-10.44851812
9673.982497,-7724,-2.395363318,-10.59820005
9635.270419,-7685,-2.050625511,-10.40067868
9596.623164,-7647,-2.511457228,-10.51626245
9558.041695,-7608,-2.007280643,-10.50063674
9519.526968,-7570,-2.704722773,-10.55608381
