age_calBP,d13C
0,0.00
1.3,-26.05
4.4,0.00
7.5,-25.78
15.4,-25.82
25,-25.61
29.4,0.00
33.4,-25.73
43.2,-25.85
52.1,-25.95
60.9,-26.05
70.7,-26.55
79.7,-26.36
89.3,-26.61
98.8,-26.61
108.2,-26.69
112.7,0.00
117.5,-26.45
126.6,-26.20
135.4,-26.67
144.8,-26.24
154.1,-26.59
163.7,-26.30
173,-25.98
182.1,-26.09
191.7,-25.83
196.2,0.00
200.7,-26.48
205.5,-26.40
210.3,-26.25
215.4,-26.53
220.2,-26.43
224.3,-26.17
228.4,-26.58
232.9,-26.22
237.6,-26.20
242.1,-26.88
246.6,-26.32
250.8,-26.84
254.7,-26.49
258.1,-26.84
261.5,-26.34
266.1,-26.16
270.7,-26.15
275,-25.97
278.9,-26.42
282.8,-26.23
287.6,-26.23
292.3,-26.47
297,-26.84
301.5,-26.98
305.9,-26.49
310.9,-26.51
316,-26.37
320.8,-26.26
325.9,-26.44
330.3,-26.58
335,-26.35
344.5,-26.33
353.7,-26.15
363.6,-26.28
372.9,-26.00
382.4,-25.88
392.7,-25.78
397.7,0.00
402.3,-25.77
412.8,-25.68
423,-25.99
432.4,-25.70
436.9,0.00
441.5,-25.89
451.2,-25.91
458.4,-26.06
462.2,0.00
465.7,-25.92
472.1,-26.39
475.4,0.00
478.7,-25.70
481.9,0.00
485,-26.25
491.5,-26.25
498.4,-25.76
501.9,
504.8,-26.10
511.2,-26.10
517.9,-26.54
520.6,0.00
523.1,-26.33
528,-26.35
532.8,-26.62
570.2,-26.22
575.9,-26.04
581.6,-26.05
587,-25.71
589.9,0.00
592.8,-26.96
598.3,-26.54
603.5,-25.62
606.4,0.00
609.1,-26.14
614.1,-25.61
618.8,-25.52
621,0.00
622.9,-24.73
627.7,-26.12
632.4,-26.48
634.7,0.00
637,-26.72
639.4,0.00
641.6,-26.41
646.2,-26.52
650.8,-27.01
676.5,0.00
678.8,-26.36
683.5,-26.00
687.7,-25.84
692.3,-27.16
699.4,-26.27
706.6,-26.38
713.8,-26.36
721.1,-27.11
728.2,-26.40
735,-25.89
741.6,-26.58
745,0.00
748.4,-25.87
755.7,-26.46
762.3,0.00
801.7,0.00
842.7,0.00
880.3,0.00
884.6,-25.45
892.7,-25.10
900.8,-23.37
908.4,-24.24
916.3,-24.66
924.7,-25.02
985.3,0.00
1039.7,-26.47
1045.1,-25.24
1045.1,0.00
1048,-26.36
1051.2,-26.39
1059.7,-26.28
1072.8,0.00
1086.7,-27.03
1100.8,-26.45
1116.1,-26.17
1123.7,0.00
1129.9,-26.25
1143.3,-26.37
1157.1,-26.34
1169.9,-25.93
1183.5,-25.40
1195.8,-25.95
1202.3,0.00
1208.7,-26.14
1221.8,-26.17
1233.7,-26.02
1239.8,0.00
1246.5,-25.97
1258.6,-25.69
1271.2,-25.14
1283.7,-24.95
1295.8,-25.97
1308.5,-25.01
1314.9,0.00
1321.1,-25.00
1333.6,-24.98
1346,-24.95
1352.1,0.00
1358.5,-25.19
1370.8,-25.19
1377.2,0.00
1383.3,-25.99
1395.3,-25.78
1407.9,-25.60
