"","age_calBP","method","Temp"
"1",1093,"SA_temp",-0.3
"2",1092,"SA_temp",-0.21
"3",1091,"SA_temp",-0.07
"4",1090,"SA_temp",-0.38
"5",1089,"SA_temp",-0.41
"6",1088,"SA_temp",-0.19
"7",1087,"SA_temp",-0.37
"8",1086,"SA_temp",0.08
"9",1085,"SA_temp",-0.32
"10",1084,"SA_temp",-0.38
"11",1083,"SA_temp",-0.31
"12",1082,"SA_temp",-0.32
"13",1081,"SA_temp",-0.39
"14",1080,"SA_temp",-0.36
"15",1079,"SA_temp",-0.43
"16",1078,"SA_temp",-0.56
"17",1077,"SA_temp",-0.69
"18",1076,"SA_temp",-0.59
"19",1075,"SA_temp",-0.4
"20",1074,"SA_temp",-0.71
"21",1073,"SA_temp",-0.35
"22",1072,"SA_temp",-0.15
"23",1071,"SA_temp",-0.23
"24",1070,"SA_temp",-0.18
"25",1069,"SA_temp",0.07
"26",1068,"SA_temp",-0.06
"27",1067,"SA_temp",-0.02
"28",1066,"SA_temp",-0.04
"29",1065,"SA_temp",-0.06
"30",1064,"SA_temp",0.12
"31",1063,"SA_temp",-0.21
"32",1062,"SA_temp",0.32
"33",1061,"SA_temp",0.04
"34",1060,"SA_temp",-0.38
"35",1059,"SA_temp",-0.22
"36",1058,"SA_temp",-0.06
"37",1057,"SA_temp",-0.04
"38",1056,"SA_temp",-0.16
"39",1055,"SA_temp",0.14
"40",1054,"SA_temp",0.17
"41",1053,"SA_temp",-0.01
"42",1052,"SA_temp",-0.02
"43",1051,"SA_temp",-0.18
"44",1050,"SA_temp",-0.17
"45",1049,"SA_temp",0
"46",1048,"SA_temp",-0.29
"47",1047,"SA_temp",-0.27
"48",1046,"SA_temp",0.06
"49",1045,"SA_temp",0.07
"50",1044,"SA_temp",0.24
"51",1043,"SA_temp",-0.04
"52",1042,"SA_temp",-0.03
"53",1041,"SA_temp",0.22
"54",1040,"SA_temp",-0.25
"55",1039,"SA_temp",0.01
"56",1038,"SA_temp",-0.16
"57",1037,"SA_temp",0.11
"58",1036,"SA_temp",-0.28
"59",1035,"SA_temp",-0.19
"60",1034,"SA_temp",-0.1
"61",1033,"SA_temp",-0.55
"62",1032,"SA_temp",-0.31
"63",1031,"SA_temp",0.16
"64",1030,"SA_temp",-0.12
"65",1029,"SA_temp",0.04
"66",1028,"SA_temp",-0.01
"67",1027,"SA_temp",-0.14
"68",1026,"SA_temp",0.02
"69",1025,"SA_temp",0.34
"70",1024,"SA_temp",-0.05
"71",1023,"SA_temp",-0.4
"72",1022,"SA_temp",-0.1
"73",1021,"SA_temp",0.11
"74",1020,"SA_temp",0.13
"75",1019,"SA_temp",0.12
"76",1018,"SA_temp",-0.09
"77",1017,"SA_temp",-0.12
"78",1016,"SA_temp",0.14
"79",1015,"SA_temp",0.02
"80",1014,"SA_temp",0
"81",1013,"SA_temp",-0.27
"82",1012,"SA_temp",0.03
"83",1011,"SA_temp",0.04
"84",1010,"SA_temp",0.23
"85",1009,"SA_temp",-0.08
"86",1008,"SA_temp",-0.16
