"","lake","timeseriesBC_fromreference","age"
"1","Fondococha",0.562714267116055,-60
"2","Fondococha",0.296984919135553,-50
"3","Fondococha",0.335042206213815,-40
"4","Fondococha",0.31564815576699,-29
"5","Fondococha",0.344710549423631,-19
"6","Fondococha",0.330137966690222,-9
"7","Fondococha",0.149934733088191,12
"8","Fondococha",0.350863197222325,45
"9","Fondococha",0.437156277582663,74
"10","Fondococha",0.485196195805701,99
"11","Fondococha",0.235639707585926,122
"12","Fondococha",0.308899614004419,141
"13","Fondococha",0.242895541031875,163
"14","Fondococha",0.214731050804949,179
"15","Fondococha",0.163352579435741,199
"16","Fondococha",0.251379101431715,218
"17","Fondococha",0.158900197320594,229
"18","Fondococha",0.159340711627951,238
"19","Fondococha",0.168604210891449,255
"20","Fondococha",0.261188435589697,271
"21","Fondococha",0.138421603669649,289
"22","Fondococha",0.226842696524896,304
"23","Fondococha",0.207439973611528,320
"24","Fondococha",0.188762305507343,331
"25","Fondococha",0.292541127194658,350
"26","Fondococha",0.20798095081698,368
"27","Fondococha",0.251892671150787,396
"28","Fondococha",0.167418130315523,419
"29","Fondococha",0.333235342434959,437
"30","Fondococha",0.373102712079261,447
"31","Fondococha",0.43654242204496,502
"32","Fondococha",0.446409167829469,536
"33","Fondococha",0.106779306576483,560
"34","Fondococha",0.448062330389089,594
"35","Fondococha",0.0906236896711141,645
"36","Fondococha",0.225989240123516,693
"37","Fondococha",0.422957612253636,735
"38","Fondococha",0.323509614214927,790
"39","Fondococha",0.419708422494881,846
"40","Fondococha",0.248050160575011,879
"41","Fondococha",0.160108760527886,932
"42","Fondococha",0.459262916909818,944
"43","Fondococha",0.297170755748587,965
"44","Fondococha",0.435240703994479,997
"45","Fondococha",0.30656864012943,1040
"46","Fondococha",0.351034168931438,1054
"47","Fondococha",0.247336992526049,1059
"48","Fondococha",0.335700416088766,1073
"49","Fondococha",0.435824878495275,1087
"50","Fondococha",0.233689300826113,1121
"51","Fondococha",0.467071402070896,1144
"52","Fondococha",0.404855991252601,1173
"53","Fondococha",0.397685143554499,1196
"54","Fondococha",0.308949207922118,1239
"55","Fondococha",0.462806557969378,1281
"56","Fondococha",0.337604604800364,1319
"57","Fondococha",0.3513931158566,1352
"58","Fondococha",0.352980356445948,1375
"59","Fondococha",0.365565279678216,1404
"60","Fondococha",0.396111849373189,1469
"61","Fondococha",0.427188208987656,1544
"62","Fondococha",0.481997166256656,1562
"63","Fondococha",0.468303315446495,1573
"64","Fondococha",0.557768879616856,1601
"65","Fondococha",0.529653281504876,1629
"66","Fondococha",0.297701849350715,1659
"67","Fondococha",0.47244094488189,1671
"68","Fondococha",0.528691530437207,1704
"69","Fondococha",0.504244021268971,1728
"70","Fondococha",0.519993586476627,1762
"71","Fondococha",0.53170039831007,1782
"72","Fondococha",0.562144387939707,1800
"73","Fondococha",0.461892191984581,1816
"74","Fondococha",0.514499593024263,1851
"75","Fondococha",0.45337235733108,1874
"76","Fondococha",0.422284799293247,1894
"77","Fondococha",0.38810110309185,1910
"78","Fondococha",0.323182253447561,1945
"79","Fondococha",0.467939396401154,1993
"80","Fondococha",0.318149557518576,2063
"81","Fondococha",0.170669797252276,2075
"82","Fondococha",0.222933662131357,2082
"83","Fondococha",0.323535556302399,2082
"84","Fondococha",0.32250081680582,2082
"85","Fondococha",0.436929797433122,2117
"86","Fondococha",0.302220466664786,2150
"87","Fondococha",0.251160216066467,2170
"88","Fondococha",0.174166009372245,2198
"89","Fondococha",0.210960691259052,2222
"90","Fondococha",0.19335914072297,2255
"91","Fondococha",0.318513625953216,2345
"92","Fondococha",0.434324356388658,2384
"93","Fondococha",0.121677171827898,2410
"94","Fondococha",0.203682241619599,2441
"95","Fondococha",0.145146209866271,2469
"96","Fondococha",0.0940062728397548,2484
"97","Fondococha",0.161998056994819,2525
"98","Fondococha",0.23050872057863,2571
"99","Fondococha",0,2598
"100","Llaviucu",0.691621982629147,-63
"101","Llaviucu",0.738556595579986,-59
"102","Llaviucu",0.636290534044226,-55
"103","Llaviucu",0.735075416313463,-51
"104","Llaviucu",0.666709651535993,-46
"105","Llaviucu",0.741721928613907,-42
"106","Llaviucu",0.704252903610365,-38
"107","Llaviucu",0.632684203821987,-35
"108","Llaviucu",0.626691807417586,-31
"109","Llaviucu",0.647364956361659,-28
"110","Llaviucu",0.617699504423139,-25
"111","Llaviucu",0.619664210040725,-21
"112","Llaviucu",0.594707241706663,-15
"113","Llaviucu",0.611378265980941,-13
"114","Llaviucu",0.607072095327129,-8
"115","Llaviucu",0.63619057419222,-6
"116","Llaviucu",0.618146132931834,3
"117","Llaviucu",0.563019952520465,9
"118","Llaviucu",0.576511701166142,11
"119","Llaviucu",0.537188528724449,16
"120","Llaviucu",0.495660412863269,24
"121","Llaviucu",0.603610897576044,35
"122","Llaviucu",0.559128025250322,45
"123","Llaviucu",0.587717053457661,46
"124","Llaviucu",0.494181203285413,54
"125","Llaviucu",0.447838107265808,63
"126","Llaviucu",0.538193305942765,71
"127","Llaviucu",0.541939067890766,78
"128","Llaviucu",0.459274251843285,85
"129","Llaviucu",0.342867925818486,88
"130","Llaviucu",0.339130099297347,93
"131","Llaviucu",0.261662133525805,104
"132","Llaviucu",0.358607328529416,114
"133","Llaviucu",0.403399895487511,115
"134","Llaviucu",0.325172659737774,121
"135","Llaviucu",0.327168769863351,126
"136","Llaviucu",0.308658517688023,127
"137","Llaviucu",0.263813686850591,144
"138","Llaviucu",0.270521282562336,166
"139","Llaviucu",0.337740312609133,180
"140","Llaviucu",0.241644131963223,200
"141","Llaviucu",0.246087313635086,218
"142","Llaviucu",0.329754078774105,251
"143","Llaviucu",0.271807378875928,262
"144","Llaviucu",0.361280382152701,317
"145","Llaviucu",0.276010139942325,385
"146","Llaviucu",0.301580271385921,445
"147","Llaviucu",0.409543779118653,456
"148","Llaviucu",0.306061970318066,501
"149","Llaviucu",0.35428378242928,540
"150","Llaviucu",0.305310619948876,587
"151","Llaviucu",0.382255754088632,632
"152","Llaviucu",0.360437404041536,724
"153","Llaviucu",0.316201689083045,787
"154","Llaviucu",0.35204165506413,914
"155","Llaviucu",0.316289855072464,1038
"156","Llaviucu",0.308123549894723,1155
"157","Llaviucu",0.221852191752614,1255
"158","Llaviucu",0.456728668447598,1349
"159","Llaviucu",0.338049523858514,1430
"160","Llaviucu",0.314186559023007,1505
"161","Llaviucu",0.341316274517674,1636
"162","Llaviucu",0.295625199931509,1690
"163","Llaviucu",0.437558043869312,1703
"164","Llaviucu",0.421981326520819,1765
"165","Llaviucu",0.492374603828138,1839
"166","Llaviucu",0.467886291473992,1908
"167","Llaviucu",0.482489051130136,1941
"168","Llaviucu",0.354867835524558,2035
"169","Llaviucu",0.312337352741035,2070
"170","Llaviucu",0.547618669335833,2127
"171","Llaviucu",0.412236510186343,2182
"172","Llaviucu",0.49394304974286,2208
"173","Llaviucu",0.374868473317715,2260
"174","Llaviucu",0.436516532302529,2285
"175","Llaviucu",0.248893166022584,2358
"176","Llaviucu",0.249736696193834,2382
"177","Llaviucu",0.256780850955077,2450
"178","Llaviucu",0.241855991446076,2488
"179","Llaviucu",0.295462725210006,2509
"180","Llaviucu",0.311321588916492,2551
"181","Llaviucu",0.27385271365453,2586
"182","Llaviucu",0.329117493178108,2613
"183","Llaviucu",0.305199351325962,2649
"184","Llaviucu",0.201858362504714,2687
"185","Llaviucu",0.189507665492396,2707
"186","Llaviucu",0.212652129482881,2735
"187","Llaviucu",0.248217920581088,2752
"188","Llaviucu",0.228260869565217,2776
"189","Llaviucu",0.271234406453414,2793
"190","Llaviucu",0.1856371197582,2820
"191","Llaviucu",0.368092364293034,2852
"192","Llaviucu",0.256749752626867,2884
"193","Llaviucu",0.307646648472017,2931
"194","Llaviucu",0.267859928995508,2961
"195","Llaviucu",0.25112194357597,2967
"196","Llaviucu",0.409892707765048,2997
"197","Llaviucu",0.198888923617575,3000
"198","Llaviucu",0.20588623035894,3016
"199","Llaviucu",0.409084262924236,3036
"200","Llaviucu",0.246615339186299,3045
