"","timeseriesBC_fromreference","age","clust","id"
"3",0.691621982629147,-63,1,"llaviucu"
"8",0.738556595579986,-59,1,"llaviucu"
"12",0.636290534044227,-55,1,"llaviucu"
"18",0.735075416313463,-51,1,"llaviucu"
"22",0.666709651535993,-46,1,"llaviucu"
"27",0.741721928613907,-42,1,"llaviucu"
"31",0.704252903610364,-38,1,"llaviucu"
"37",0.632684203821987,-35,1,"llaviucu"
"43",0.626691807417586,-31,1,"llaviucu"
"48",0.647364956361658,-28,1,"llaviucu"
"52",0.617699504423139,-25,1,"llaviucu"
"58",0.619664210040726,-21,1,"llaviucu"
"63",0.594707241706663,-15,1,"llaviucu"
"68",0.611378265980941,-13,1,"llaviucu"
"74",0.607072095327129,-8,1,"llaviucu"
"79",0.636190574192221,-6,1,"llaviucu"
"84",0.618146132931834,3,1,"llaviucu"
"88",0.563019952520465,9,1,"llaviucu"
"93",0.576511701166142,11,1,"llaviucu"
"98",0.537188528724449,16,1,"llaviucu"
"105",0.495660412863269,24,1,"llaviucu"
"111",0.603610897576044,35,1,"llaviucu"
"115",0.559128025250321,45,1,"llaviucu"
"120",0.587717053457661,46,1,"llaviucu"
"126",0.494181203285413,54,1,"llaviucu"
"132",0.447838107265807,63,1,"llaviucu"
"136",0.538193305942765,71,1,"llaviucu"
"141",0.541939067890767,78,1,"llaviucu"
"148",0.459274251843284,85,1,"llaviucu"
"153",0.342867925818486,88,2,"llaviucu"
"159",0.339130099297347,93,2,"llaviucu"
"169",0.261662133525805,104,2,"llaviucu"
"178",0.358607328529416,114,2,"llaviucu"
"188",0.403399895487511,115,2,"llaviucu"
"193",0.325172659737774,121,2,"llaviucu"
"201",0.327168769863351,126,2,"llaviucu"
"208",0.308658517688023,127,2,"llaviucu"
"216",0.263813686850591,144,2,"llaviucu"
"226",0.270521282562336,166,2,"llaviucu"
"235",0.337740312609133,180,2,"llaviucu"
"245",0.241644131963223,200,2,"llaviucu"
"249",0.246087313635086,218,2,"llaviucu"
"260",0.329754078774105,251,2,"llaviucu"
"264",0.271807378875928,262,2,"llaviucu"
"274",0.361280382152701,317,2,"llaviucu"
"281",0.276010139942325,385,2,"llaviucu"
"287",0.301580271385921,445,2,"llaviucu"
"290",0.409543779118653,456,2,"llaviucu"
"296",0.306061970318066,501,2,"llaviucu"
"304",0.35428378242928,540,2,"llaviucu"
"308",0.305310619948876,587,2,"llaviucu"
"314",0.382255754088632,632,2,"llaviucu"
"321",0.360437404041536,724,2,"llaviucu"
"324",0.316201689083045,787,2,"llaviucu"
"333",0.35204165506413,914,2,"llaviucu"
"343",0.316289855072464,1038,2,"llaviucu"
"352",0.308123549894723,1155,3,"llaviucu"
"363",0.221852191752614,1255,3,"llaviucu"
"369",0.456728668447597,1349,3,"llaviucu"
"379",0.338049523858514,1430,3,"llaviucu"
"386",0.314186559023007,1505,3,"llaviucu"
"396",0.341316274517674,1636,3,"llaviucu"
"404",0.295625199931509,1690,3,"llaviucu"
"407",0.437558043869313,1703,3,"llaviucu"
"415",0.421981326520819,1765,3,"llaviucu"
"422",0.492374603828138,1839,3,"llaviucu"
"428",0.467886291473991,1908,3,"llaviucu"
